Company Name,Website,City,Address,Company Stage,Company_Stage_Classified,Focus Areas,Focus_Areas_Enhanced,Description,Description_Enhanced,Google_Name,Google_Address,Google_Website,Latitude,Longitude,Confidence_Score,Validation_Source,Classifier_Date
Active Motif,https://www.activemotif.com/,Carlsbad,"1914 Palomar Oaks Way STE 150, Carlsbad, CA 92008, USA",,Unknown,Epigenetics Research products,,,,Active Motif,"1914 Palomar Oaks Way STE 150, Carlsbad, CA 92008, USA",http://www.activemotif.com/,33.1248497,-117.2893226,0.9999999999999999,BPG,2025-11-15
Actym Therapeutics,https://www.actymthera.com/,Berkeley,,,Private,Microbial-based immunotherapy platform,,,,,,,,,,BPG,2025-11-15
Acura Pharmaceuticals,http://acurapharm.com/,,,,Unknown,,,Acura Pharmaceuticals Inc. is a pharmaceutical company focused on the development and commercialization of deterrents to medication abuse and misuse.,Acura Pharmaceuticals Inc. is a pharmaceutical company focused on the development and commercialization of deterrents to medication abuse and misuse.,,,,,,,Wikipedia,
AcuraStem,https://acurastem.com/,Pasadena,"150 N Orange Grove Blvd, Pasadena, CA 91103, USA",,Unknown,Patient-based Therapeutics,,,,AcuraStem,"150 N Orange Grove Blvd, Pasadena, CA 91103, USA",https://acurastem.com/,34.148909,-118.159546,0.9999999999999999,BPG,2025-11-15
Acurex Biosciences,https://www.acurex.com/,San Carlos,,,Unknown,Neurodegenerative Treatments,,,,,,,,,,BPG,2025-11-15
Acutus Medical,https://www.acutusmedical.com/us/,Carlsbad,"2210 Faraday Ave #100, Carlsbad, CA 92008, USA",,Unknown,Complex Cardiac Arrhythmias Diagnostics,,,,Acutus Medical Inc.,"2210 Faraday Ave #100, Carlsbad, CA 92008, USA",https://ir.acutusmedical.com/,33.1353312,-117.2793439,0.9999999999999999,BPG,2025-11-15
Adagio Medical,https://adagiomedical.com/,Laguna Hills,"26051 Merit Cir #102, Laguna Hills, CA 92653, USA",,Unknown,Continuous Lesion Ablation System,,,,Adagio,"26051 Merit Cir #102, Laguna Hills, CA 92653, USA",http://www.adagiomedical.com/,33.5740369,-117.6760512,0.9542857142857143,BPG,2025-11-15
Adanate,https://adanate.com/,Alameda,,,Unknown,Antibody Therapies,,,,,,,,,,BPG,2025-11-15
Adaptyx Biosciences,https://adaptyx.bio/,Menlo Park,,,Unknown,Biosensors,,,,,,,,,,BPG,2025-11-15
Adari Cell Science,https://adaricell.com/,Oakland,"5 Ascot Ct, Oakland, CA 94611, USA",,Unknown,Cell-based Assays,,,,Adari Cell Science,"5 Ascot Ct, Oakland, CA 94611, USA",https://adaricell.com/about-us/,37.82184240000001,-122.1965544,0.9999999999999999,BPG,2025-11-15
Adcentrx Therapeutics,https://www.adcentrx.com/,San Diego,"5580 Morehouse Dr #210, San Diego, CA 92121, USA",,Private,Antibody drug conjugate,,,,Adcentrx Therapeutics Inc.,"5580 Morehouse Dr #210, San Diego, CA 92121, USA",https://adcentrx.com/,32.8968815,-117.199047,0.9999999999999999,BPG,2025-11-15
AddexBio,https://www.addexbio.com/,San Diego,"4907 Morena Blvd, San Diego, CA 92117, USA",,Unknown,"Reagents, Cells, Research Tools",,,,AddexBio,"4907 Morena Blvd, San Diego, CA 92117, USA",https://www.addexbio.com/contactLink,32.8264362,-117.2302116,0.9999999999999999,BPG,2025-11-15
Addition Therapeutics,https://additiontx.com/,South SF,,,Private,RNA-mediated Insertion of Transgenes,,,,,,,,,,BPG,2025-11-15
Adicet Bio,https://www.adicetbio.com/,Redwood City,"1000 Bridge Pkwy, Redwood City, CA 94065, USA",,Unknown,Immunotherapies,,,,Adicet Bio,"1000 Bridge Pkwy, Redwood City, CA 94065, USA",https://www.adicetbio.com/contact/,37.5341107,-122.2586092,0.9999999999999999,BPG,2025-11-15
Adona Medical,https://adonamed.com/,Los Gatos,"180 Knowles Dr, Los Gatos, CA 95032, USA",,Unknown,Device for Heart Failure,,,,Adona Medical,"180 Knowles Dr, Los Gatos, CA 95032, USA",https://adonamed.com/,37.2611247,-121.961252,0.9999999999999999,BPG,2025-11-15
AdvanBio,https://advan-bio.com/about-us/,Irvine,"8717 Research Dr, Irvine, CA 92618, USA",,Unknown,"Bioanalysis, Assay Development, Regulatory Consulting",,,,AdvanBio,"8717 Research Dr, Irvine, CA 92618, USA",https://advan-bio.com/,33.6451252,-117.7397655,0.9999999999999999,BPG,2025-11-15
Advanced Bifurcation Systems,https://advancedbifurcation.com/,Livermore,"7419 Southfront Rd, Livermore, CA 94551, USA",,Unknown,Bifurcating Stent,,,,Advanced Bifurcation Systems,"7419 Southfront Rd, Livermore, CA 94551, USA",https://advancedbifurcation.com/contact-us/,37.71414100000001,-121.7053037,0.9999999999999999,BPG,2025-11-15
Advanced Biomatrix,https://advancedbiomatrix.com/,Carlsbad,"5930 Sea Lion Pl, Carlsbad, CA 92010, USA",,Unknown,"3D Tissue Culture, Assays and Cell Proliferation",,,,Advanced BioMatrix,"5930 Sea Lion Pl, Carlsbad, CA 92010, USA",https://www.advancedbiomatrix.com/,33.1332591,-117.2481533,0.9999999999999999,BPG,2025-11-15
Advanced Brain Monitoring,https://www.advancedbrainmonitoring.com/,Carlsbad,"2237 Faraday Ave, Carlsbad, CA 92008, USA",,Unknown,"EEG headsets, physiological monitoring systems, software",,,,Advanced Brain Monitoring,"2237 Faraday Ave, Carlsbad, CA 92008, USA",http://advancedbrainmonitoring.com/,33.133844,-117.2788648,0.9999999999999999,BPG,2025-11-15
Advanced Cell Diagnostics,https://acdbio.com/,Newark,"7707 Gateway Blvd, Newark, CA 94560, USA",,Unknown,RNA Detection,,,,Advanced Cell Diagnostics a Bio-Techne Brand,"7707 Gateway Blvd, Newark, CA 94560, USA",http://www.acdbio.com/,37.5396118,-122.0637698,0.9665116279069766,BPG,2025-11-15
Advanced Microbubbles,https://www.advancedmicrobubbles.com/,Newark,"39655 Eureka Dr, Newark, CA 94560, USA",,Unknown,Ultrasound-triggered microbubbles,,,,Advanced Microbubbles Inc,"39655 Eureka Dr, Newark, CA 94560, USA",https://www.advancedmicrobubbles.com/contact-us.html,37.5092226,-121.9981293,0.9999999999999999,BPG,2025-11-15
Advanced NanoTherapies,https://advancednanotherapies.com/,Santa Clara,,,Unknown,Nanoparticle technologies that enable and improve drug uptake and retention into the cell for medical devices,,,,,,,,,,BPG,2025-11-15
Advanced Orthopaedic Solutions,https://www.aosortho.com/,Torrance,"3203 Kashiwa St, Torrance, CA 90505, USA",,Unknown,Orthopedic Trauma Products,,,,Advanced Orthopedic Solutions,"3203 Kashiwa St, Torrance, CA 90505, USA",https://www.aosortho.com/,33.8162778,-118.3414429,0.9973333333333333,BPG,2025-11-15
